window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2021-2023,2022.0,ORB,orb,offense,0.7619,0.1092,0.5478,0.976
2024-2026,2025.0,ORB,orb,offense,0.6461,0.0993,0.4514,0.8408
1997-1999,1998.0,PF,pf,offense,-0.256,0.0824,-0.4175,-0.0945
2000-2002,2001.0,PF,pf,offense,-0.2957,0.0756,-0.4439,-0.1474
2003-2005,2004.0,PF,pf,offense,-0.2376,0.0792,-0.3928,-0.0824
2006-2008,2007.0,PF,pf,offense,-0.2809,0.0798,-0.4374,-0.1244
2009-2011,2010.0,PF,pf,offense,-0.1917,0.0801,-0.3486,-0.0348
2012-2014,2013.0,PF,pf,offense,-0.2317,0.0867,-0.4017,-0.0617
2015-2017,2016.0,PF,pf,offense,-0.4336,0.0949,-0.6196,-0.2477
2018-2020,2019.0,PF,pf,offense,-0.2576,0.1044,-0.4623,-0.053
2021-2023,2022.0,PF,pf,offense,-0.1369,0.1036,-0.34,0.0663
2024-2026,2025.0,PF,pf,offense,-0.1509,0.1066,-0.3599,0.0581
1997-1999,1998.0,STL,stl,offense,0.5356,0.1793,0.1842,0.887
2000-2002,2001.0,STL,stl,offense,0.3058,0.1848,-0.0563,0.668
2003-2005,2004.0,STL,stl,offense,0.3116,0.1865,-0.0538,0.6771
2006-2008,2007.0,STL,stl,offense,0.8351,0.2005,0.4421,1.2281
2009-2011,2010.0,STL,stl,offense,0.4126,0.2011,0.0184,0.8069
2012-2014,2013.0,STL,stl,offense,0.7777,0.1894,0.4065,1.1489
2015-2017,2016.0,STL,stl,offense,0.7291,0.1855,0.3655,1.0928
2018-2020,2019.0,STL,stl,offense,0.2938,0.1948,-0.088,0.6756
2021-2023,2022.0,STL,stl,offense,0.586,0.2221,0.1508,1.0213
2024-2026,2025.0,STL,stl,offense,0.9396,0.1974,0.5526,1.3265
1997-1999,1998.0,TOV,tov,offense,-0.8465,0.1666,-1.1731,-0.5199
2000-2002,2001.0,TOV,tov,offense,-1.0567,0.1585,-1.3675,-0.746
2003-2005,2004.0,TOV,tov,offense,-0.9926,0.1595,-1.3052,-0.6801
2006-2008,2007.0,TOV,tov,offense,-0.7423,0.165,-1.0656,-0.419
