side,feature,beta,se,run,window,window_mid,first_season,last_season,lam,label,sign_convention
O,fg2m,0.7031526122700388,0.07362970240486165,margin_bins,1997-1999,1998.0,1997,1999,7113.8,2PM (offense),D flipped: positive = good on both sides
O,fg2_miss,-0.5214765587916754,0.06288267434820563,margin_bins,1997-1999,1998.0,1997,1999,7113.8,2P miss (offense),D flipped: positive = good on both sides
O,ftm,0.5765687586939172,0.06921409766600266,margin_bins,1997-1999,1998.0,1997,1999,7113.8,FTM (offense),D flipped: positive = good on both sides
O,ft_miss,-0.17028186355153913,0.1540617177374773,margin_bins,1997-1999,1998.0,1997,1999,7113.8,FT miss (offense),D flipped: positive = good on both sides
O,orb,0.3259144896630667,0.09647567648428154,margin_bins,1997-1999,1998.0,1997,1999,7113.8,ORB (offense),D flipped: positive = good on both sides
O,drb,0.11115855945376252,0.06255181531598072,margin_bins,1997-1999,1998.0,1997,1999,7113.8,DRB (offense),D flipped: positive = good on both sides
O,ast,0.4725473222893781,0.053854227295403,margin_bins,1997-1999,1998.0,1997,1999,7113.8,AST (offense),D flipped: positive = good on both sides
O,tov,-0.7666728393210611,0.14438612237574763,margin_bins,1997-1999,1998.0,1997,1999,7113.8,TOV (offense),D flipped: positive = good on both sides
O,stl,0.31214763421046443,0.16606068061414944,margin_bins,1997-1999,1998.0,1997,1999,7113.8,STL (offense),D flipped: positive = good on both sides
O,blk,0.1099974774998499,0.10906231251778217,margin_bins,1997-1999,1998.0,1997,1999,7113.8,BLK (offense),D flipped: positive = good on both sides
O,pf,-0.30540992796147204,0.07091880526372973,margin_bins,1997-1999,1998.0,1997,1999,7113.8,PF (offense),D flipped: positive = good on both sides
D,fg3m,-0.38469737864035275,0.21874180448927016,margin_bins,1997-1999,1998.0,1997,1999,7113.8,3PM (defense),D flipped: positive = good on both sides
D,fg3_miss,-0.051412483104532614,0.13029117236935792,margin_bins,1997-1999,1998.0,1997,1999,7113.8,3P miss (defense),D flipped: positive = good on both sides
D,fg2m,0.2350011301438969,0.07796753894978221,margin_bins,1997-1999,1998.0,1997,1999,7113.8,2PM (defense),D flipped: positive = good on both sides
D,fg2_miss,-0.36212256582588664,0.06696693850385786,margin_bins,1997-1999,1998.0,1997,1999,7113.8,2P miss (defense),D flipped: positive = good on both sides
D,ftm,0.08106701034000838,0.07407413481175532,margin_bins,1997-1999,1998.0,1997,1999,7113.8,FTM (defense),D flipped: positive = good on both sides
D,ft_miss,0.011094363398041929,0.1642175371919268,margin_bins,1997-1999,1998.0,1997,1999,7113.8,FT miss (defense),D flipped: positive = good on both sides
D,orb,-0.29292803133895395,0.10250491624054836,margin_bins,1997-1999,1998.0,1997,1999,7113.8,ORB (defense),D flipped: positive = good on both sides
D,drb,0.5470333154366793,0.06566617984252437,margin_bins,1997-1999,1998.0,1997,1999,7113.8,DRB (defense),D flipped: positive = good on both sides
D,ast,0.10959562833782174,0.057043539541318716,margin_bins,1997-1999,1998.0,1997,1999,7113.8,AST (defense),D flipped: positive = good on both sides
D,tov,-0.6497425546616356,0.15513338553580533,margin_bins,1997-1999,1998.0,1997,1999,7113.8,TOV (defense),D flipped: positive = good on both sides
D,stl,1.3956423951387866,0.17884002860979578,margin_bins,1997-1999,1998.0,1997,1999,7113.8,STL (defense),D flipped: positive = good on both sides
