window,window_mid,feature_i,feature_j,corr,sd_i
2003-2005,2004.0,drb,blk,0.6551,2.3984
2003-2005,2004.0,drb,pf,0.3105,2.3984
2003-2005,2004.0,ast,fg3m,0.3347,2.7863
2003-2005,2004.0,ast,fg3_miss,0.3853,2.7863
2003-2005,2004.0,ast,fg2m,-0.0502,2.7863
2003-2005,2004.0,ast,fg2_miss,0.0399,2.7863
2003-2005,2004.0,ast,ftm,0.1122,2.7863
2003-2005,2004.0,ast,ft_miss,-0.1873,2.7863
2003-2005,2004.0,ast,orb,-0.6239,2.7863
2003-2005,2004.0,ast,drb,-0.4869,2.7863
2003-2005,2004.0,ast,ast,1.0,2.7863
2003-2005,2004.0,ast,tov,0.479,2.7863
2003-2005,2004.0,ast,stl,0.4417,2.7863
2003-2005,2004.0,ast,blk,-0.4603,2.7863
2003-2005,2004.0,ast,pf,-0.4759,2.7863
2003-2005,2004.0,tov,fg3m,-0.0419,0.7915
2003-2005,2004.0,tov,fg3_miss,0.0334,0.7915
2003-2005,2004.0,tov,fg2m,0.4231,0.7915
2003-2005,2004.0,tov,fg2_miss,0.4824,0.7915
2003-2005,2004.0,tov,ftm,0.5053,0.7915
2003-2005,2004.0,tov,ft_miss,0.3584,0.7915
2003-2005,2004.0,tov,orb,-0.1341,0.7915
2003-2005,2004.0,tov,drb,-0.0686,0.7915
2003-2005,2004.0,tov,ast,0.479,0.7915
2003-2005,2004.0,tov,tov,1.0,0.7915
